,index,county,state,county_and_state_x,code,Deaths,Population,Crude Rate,fips,smoking,obesity,foodenv,exercise,noinsurance,physicians,pollution,diabetes,county_and_state_y,code2,sunlight,blow,ganj,smack
0,67.0,,Alabama,,,,,,1000.0,22.0,35.0,5.8,62.0,11.0,65.0,11.0,14.0,,,,1.158,9.282,0.276
1,83.0,,Alaska,,,,,,2000.0,19.0,30.0,6.5,82.0,16.0,90.0,,8.0,,,,2.056,23.18,0.8059999999999998
2,192.0,,Indiana,,,,,,18000.0,21.0,33.0,7.1,75.0,9.0,67.0,11.8,,,,,1.1677777777777778,13.688888888888883,0.44
3,260.0,,Louisiana,,,,,,22000.0,23.0,35.0,5.3,75.0,12.0,67.0,9.4,,,,,1.7975,11.85375,0.16999999999999998
4,275.0,,Nevada,,,,,,32000.0,16.0,27.0,7.9,73.0,13.0,57.0,6.5,10.0,,,,1.7583333333333335,12.883333333333333,0.3566666666666667
5,348.0,,Pennsylvania,,,,,,42000.0,18.0,30.0,8.2,84.0,7.0,81.0,10.6,11.0,,,,1.6242857142857143,12.271428571428574,0.6192857142857143
6,399.0,,South Dakota,,,,,,46000.0,18.0,31.0,6.6,72.0,10.0,76.0,5.6,9.0,,,,0.9783333333333332,11.028333333333334,0.2483333333333333
7,549.0,,Virginia,,,,,,51000.0,15.0,29.0,8.9,82.0,10.0,76.0,8.9,10.0,,,,1.455,11.498333333333335,0.4016666666666666
8,604.0,,Arizona,,,,,,4000.0,15.0,27.0,6.5,86.0,12.0,65.0,5.8,10.0,,,,2.2383333333333333,12.05,0.5133333333333333
9,680.0,,Arkansas,,,,,,5000.0,24.0,35.0,5.4,65.0,9.0,66.0,10.0,13.0,,,,1.108888888888889,11.22,0.1911111111111111
10,738.0,,California,,,,,,6000.0,11.0,23.0,8.9,93.0,8.0,78.0,9.5,9.0,,,,2.5025000000000004,16.200000000000006,0.21607142857142864
11,792.0,,Colorado,,,,,,8000.0,16.0,21.0,8.3,91.0,9.0,81.0,5.1,6.0,,,,2.4925,22.6125,0.35125
12,813.0,,Connecticut,,,,,,9000.0,13.0,26.0,8.6,94.0,6.0,85.0,8.0,9.0,,,,2.3716666666666666,15.066666666666665,0.6733333333333335
13,817.0,,Delaware,,,,,,10000.0,18.0,31.0,8.4,85.0,7.0,71.0,9.3,12.0,,,,1.96,14.7,1.022
14,885.0,,Florida,,,,,,12000.0,15.0,27.0,6.9,88.0,15.0,72.0,8.2,11.0,,,,1.8695833333333336,13.36458333333333,0.2695833333333333
15,1042.0,,Georgia,,,,,,13000.0,18.0,30.0,6.0,76.0,15.0,66.0,10.9,12.0,,,,1.604285714285714,11.8,0.13714285714285715
16,1050.0,,Hawaii,,,,,,15000.0,13.0,23.0,7.7,91.0,4.0,88.0,,10.0,,,,2.1700000000000004,14.8,0.226
17,1091.0,,Idaho,,,,,,16000.0,14.0,28.0,7.2,78.0,12.0,65.0,7.4,9.0,,,,1.1275,11.54875,0.29000000000000004
18,1199.0,,Illinois,,,,,,17000.0,16.0,29.0,8.7,91.0,7.0,81.0,11.5,,,,,1.8665217391304347,12.853478260869567,0.3056521739130435
19,1299.0,,Iowa,,,,,,19000.0,17.0,32.0,8.2,83.0,5.0,72.0,9.0,,,,,1.03,9.175714285714287,0.1471428571428572
20,1389.0,,Kansas,,,,,,20000.0,17.0,33.0,6.9,80.0,10.0,76.0,8.1,,,,,1.2133333333333334,10.96,0.18833333333333327
21,1526.0,,Kentucky,,,,,,21000.0,24.0,34.0,6.9,71.0,6.0,66.0,10.7,,,,,1.5171428571428571,12.185714285714289,0.5
22,1543.0,,Maine,,,,,,23000.0,20.0,29.0,8.0,70.0,10.0,112.0,7.4,,,,,1.7109999999999999,19.97,0.473
23,1568.0,,Maryland,,,,,,24000.0,14.0,30.0,9.1,92.0,7.0,88.0,9.6,,,,,1.504,15.089999999999998,0.6060000000000001
24,1584.0,,Massachusetts,,,,,,25000.0,14.0,24.0,9.3,94.0,3.0,104.0,7.7,,,,,2.6971428571428566,18.771428571428565,0.34
25,1667.0,,Michigan,,,,,,26000.0,20.0,32.0,7.1,85.0,6.0,79.0,8.4,,,,,1.2972727272727274,15.172727272727276,0.3636363636363637
26,1755.0,,Minnesota,,,,,,27000.0,15.0,28.0,9.0,87.0,5.0,89.0,6.9,,,,,1.44,12.264285714285714,0.26714285714285724
27,1838.0,,Mississippi,,,,,,28000.0,23.0,37.0,3.8,55.0,14.0,53.0,9.9,,,,,1.06,9.1925,0.185
28,1954.0,,Missouri,,,,,,29000.0,22.0,32.0,6.8,76.0,11.0,71.0,9.7,12.0,,,,1.2239999999999998,13.4,0.31100000000000005
29,1997.0,,Montana,,,,,,30000.0,19.0,25.0,7.1,75.0,10.0,74.0,6.0,8.0,,,,1.5799999999999998,15.966666666666667,0.2883333333333334
30,2088.0,,Nebraska,,,,,,31000.0,17.0,31.0,8.1,84.0,10.0,76.0,7.5,9.0,,,,1.2937499999999995,10.08875,0.2325
31,2118.0,,New Hampshire,,,,,,33000.0,18.0,28.0,9.2,87.0,7.0,91.0,7.5,9.0,,,,2.78625,17.85,0.635
32,2140.0,,New Jersey,,,,,,34000.0,14.0,26.0,9.2,94.0,9.0,84.0,9.9,9.0,,,,1.826,12.179999999999998,0.634
33,2169.0,,New Mexico,,,,,,35000.0,17.0,26.0,4.1,77.0,11.0,74.0,5.9,9.0,,,,1.9775,15.4125,0.2375
34,2237.0,,New York,,,,,,36000.0,14.0,26.0,9.1,93.0,7.0,83.0,8.5,10.0,,,,2.5735294117647056,14.947058823529412,0.4888235294117647
35,2338.0,,North Carolina,,,,,,37000.0,18.0,30.0,6.6,73.0,12.0,70.0,9.8,11.0,,,,1.7566666666666666,11.939333333333336,0.33533333333333337
36,2382.0,,North Dakota,,,,,,38000.0,20.0,32.0,9.1,74.0,8.0,76.0,5.4,9.0,,,,1.116,9.221,0.225
37,2481.0,,Ohio,,,,,,39000.0,23.0,32.0,6.7,84.0,7.0,77.0,11.5,12.0,,,,1.5331818181818182,12.104090909090907,0.3727272727272727
38,2558.0,,Oklahoma,,,,,,40000.0,20.0,33.0,5.7,72.0,16.0,63.0,9.4,12.0,,,,1.0425,10.7975,0.23875
39,2594.0,,Oregon,,,,,,41000.0,16.0,28.0,7.8,88.0,7.0,92.0,7.9,9.0,,,,2.46,20.87142857142857,0.4271428571428572
40,2602.0,,Rhode Island,,,,,,44000.0,14.0,27.0,8.3,95.0,5.0,96.0,6.6,10.0,,,,2.57875,19.95,0.4900000000000001
41,2649.0,,South Carolina,,,,,,45000.0,20.0,32.0,6.3,69.0,12.0,67.0,10.2,13.0,,,,1.4739999999999998,11.318,0.252
42,2745.0,,Tennessee,,,,,,47000.0,22.0,33.0,6.3,71.0,11.0,72.0,10.0,13.0,,,,1.48875,11.655,0.26875000000000004
43,2966.0,,Texas,,,,,,48000.0,14.0,29.0,6.0,80.0,19.0,60.0,8.8,10.0,,,,1.4725,10.0735,0.203
44,3025.0,,Utah,,,,,,49000.0,9.0,26.0,7.8,85.0,10.0,57.0,5.6,7.0,,,,0.8911111111111111,8.982222222222221,0.3255555555555555
45,3045.0,,Vermont,,,,,,50000.0,17.0,26.0,8.8,75.0,5.0,113.0,6.5,8.0,,,,2.884,20.660000000000004,0.7439999999999999
46,3084.0,,Washington,,,,,,53000.0,14.0,28.0,8.1,87.0,7.0,82.0,7.4,9.0,,,,1.7833333333333332,18.583333333333336,0.4625
47,3141.0,,West Virginia,,,,,,54000.0,25.0,36.0,6.9,60.0,7.0,79.0,9.6,14.0,,,,1.2871428571428574,10.989999999999998,0.4985714285714286
48,3213.0,,Wisconsin,,,,,,55000.0,17.0,31.0,8.8,86.0,6.0,80.0,8.6,9.0,,,,1.477142857142857,12.271428571428574,0.33285714285714285
49,3237.0,,Wyoming,,,,,,56000.0,19.0,29.0,6.9,76.0,13.0,68.0,4.8,9.0,,,,1.331,10.965,0.23399999999999999
99,,"District of Columbia, DC",District of Columbia,"District of Columbia, DC",11001.0,1752.0,681170.0,257.2,,,,,,,,,,"District of Columbia, DC",11001.0,15265.36,3.4255555555555555,24.177777777777766,0.4722222222222222
